Date,About,Position,Period Number,Period,Total Acceleration Efforts,Total Player Load,Player Load Per Minute,IMA Accel Low,IMA Decel Low,IMA CoD Left Low,IMA CoD Right Low,IMA Accel Medium,IMA Decel Medium,IMA CoD Left Medium,IMA CoD Right Medium,IMA Accel High,IMA Decel High,IMA Accel Total,IMA Decel Total,IMA CoD Left High,IMA CoD Right High,IMA Jump Count Low Band,IMA Jump Count Med Band,IMA Jump Count High Band,Explosive Efforts,Session Total Jumps,Session Accel Low,Session Decel Low,Session CoD Left Low,Session CoD Right Low,Session Accel Med,Session Decel Medium,Session CoD Left Medium,Session CoD Right Medium,Session IMA Accel High,Session Decel High,Session CoD Left High,Session CoD Right High,Session IMA Accel Total,Session IMA Decel Total,Session Jump Count Low Band,Session Jump Count Med Band,Session Jump Count High Band,Session Total Jump,Session Jumps Per Minute,Total CoD Left,Total CoD Right,Total High IMA,Total IMA,IMA/Min,event-uuid,group-uuid
3/14/23,Athlete I,Guard,1,1. Pre Practice,0,87.437,4.1,3,17,17,27,0,7,4,8,1,0,4,24,0,2,0,17,5,3,95,46,95,197,206,27,35,57,76,13,13,15,24,86,143,16,55,24,95,1.05,269,306,89,899,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,2,"2. Drill_Offense_ Flare, Rescreen_Half Court_4v4",0,34.257,8.2,4,4,15,25,2,4,10,3,1,1,7,9,0,6,4,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,3,3. Drill_Defense_PCM_Half Court_4v4,0,31.399,9.9,1,4,14,15,2,3,6,6,1,1,4,8,0,0,0,7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,4,4. Drill_Defense_Lane Width Slide_Full Court_1v1,0,13.616,7,1,2,7,4,3,0,3,5,0,0,4,2,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,5,5. Drill_Defense_Fake Game_Half Court_2v2,0,28.724,7.7,2,8,13,12,0,2,4,10,0,0,2,10,1,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,6,6. Play_Defense_Post Trap_Half Court_5vG,0,22.72,5.3,2,1,6,15,1,1,0,2,1,1,4,3,3,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,7,"7. Play_Defense_Pack, Flood, Tag_Half Court_4v4",0,35.403,3.6,4,1,14,13,1,1,2,8,2,2,7,4,0,2,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,8,8. Play_Offense_Rebound to Set_Full Court_5vG,0,60.011,6.7,3,14,25,24,4,2,9,7,1,1,8,17,5,5,7,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,9,9. Play_O to D_Full Court_5vG,0,74.211,7.9,10,7,28,29,7,5,8,10,1,1,18,13,2,2,0,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
3/14/23,Athlete I,Guard,10,10. Drill_Defense_IW_Full Court_4v4,0,25.608,7.9,2,1,11,8,0,0,1,4,1,0,3,1,1,1,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3,c4e1f0fe-b87a-42ca-8f41-b5b0e4cdfab3
